ccn,alt_cbsa1,alt_cbsa2
"070015","20524","35614"
"140012","20994",""
"140110","20994",""
"140155","20994",""
"140161","20994",""
"140186","20994",""
"150002","20994",""
"150004","20994",""
"150008","20994",""
"150034","20994",""
"150090","20994",""
"150125","20994",""
"150126","20994",""
"150165","20994",""
"150166","20994",""
"180012","21060",""
"180024","21060",""
"180048","21060",""
"310002","20524","35614"
"310009","20524","35614"
"310014","33874",""
"310015","20524","35614"
"310017","20524","35614"
"310031","35084","35614"
"310038","20524","35614"
"310039","20524","35614"
"310050","20524","35614"
"310054","20524","35614"
"310070","20524","35614"
"310076","20524","35614"
"310083","20524","35614"
"310096","20524","35614"
"310108","20524","35614"
"310119","20524","35614"
"330023","20524","35614"
"330049","20524","35614"
"330067","20524","35614"
"330126","20524","35614"
"330135","20524","35614"
"330205","20524","35614"
"330224","20524","35614"
"330264","20524","35614"
"340042","34820",""
"340068","34820",""
"420085","34820",""
"510062","26580",""
"510070","26580",""
